Date,Price
7/1/10,0.0644598945667859
8/1/10,0.0645723060030334
9/1/10,0.0619028960388905
10/1/10,0.108899283031787
11/1/10,0.258840907155984
12/1/10,0.238447135153275
1/1/11,0.373708866826733
2/1/11,0.922786401364573
3/1/11,0.849856642632794
4/1/11,1.21434579151679
5/1/11,6.22753877710098
6/1/11,17.6232729721235
7/1/11,13.6776495839819
8/1/11,10.8312454680725
9/1/11,5.75533165531604
10/1/11,3.92990620173455
11/1/11,2.92629654223343
12/1/11,3.46186666074501
1/1/12,6.24362472371617
2/1/12,5.1661833016204
3/1/12,4.90169755887766
4/1/12,5.00586092792967
5/1/12,5.0618046566466
6/1/12,5.95863346856392
7/1/12,7.89671324978471
8/1/12,10.979030142181
9/1/12,11.3443350986858
10/1/12,11.5633476689425
11/1/12,11.3866213234802
12/1/12,13.2221062759517
1/1/13,15.6538714192216
2/1/13,25.869011046965
3/1/13,60.2430966650759
4/1/13,129.235176381453
5/1/13,118.00033185404
6/1/13,104.876134981142
7/1/13,84.6647208384589
8/1/13,105.736907219666
9/1/13,126.152133551346
10/1/13,159.244510460539
11/1/13,569.237574042445
12/1/13,779.791197073528
1/1/14,824.717747089783
2/1/14,653.260086964684
3/1/14,594.038187390661
4/1/14,462.309821266776
5/1/14,489.199762282026
6/1/14,615.560620229282
7/1/14,617.091885482825
8/1/14,536.084444282082
9/1/14,444.8680408717
10/1/14,362.539979415722
11/1/14,367.761988804198
12/1/14,347.530126356518
1/1/15,248.951447713339
2/1/15,234.353925595657
3/1/15,269.962091906064
4/1/15,233.917289341719
5/1/15,237.545636650796
6/1/15,238.195873120609
7/1/15,279.566452339697
8/1/15,250.128798665627
9/1/15,234.714998416253
10/1/15,266.859719459141
11/1/15,349.421166954132
12/1/15,421.942393051638
1/1/16,410.964234688561
2/1/16,402.424215956378
3/1/16,415.777813914073
4/1/16,432.425235877201
5/1/16,467.757192726066
6/1/16,638.015006657992
7/1/16,660.561689206469
8/1/16,581.407811194807
9/1/16,605.348263378256
10/1/16,641.353990551043
11/1/16,727.592158811451
12/1/16,821.793868296363
1/1/17,910.413611692766
2/1/17,1057.71905524564
3/1/17,1133.00295159322
4/1/17,1215.1373161478
5/1/17,1883.19513311123
6/1/17,2622.90851804455
7/1/17,2497.77360089369
8/1/17,3828.21827055907
9/1/17,4118.86612860448
10/1/17,5255.41685735457
11/1/17,7728.48655985169
12/1/17,14967.5481321374
1/1/18,13055.2901273835
2/1/18,9390.28477213817
3/1/18,9158.16548566354
4/1/18,8030.15603519547
5/1/18,8446.1963556943
6/1/18,6795.41563865804
7/1/18,7099.97158152888
8/1/18,6687.93661068553
9/1/18,6593.8890465438
10/1/18,6460.23318514539
11/1/18,5426.12269395385
12/1/18,3705.59579209417
1/1/19,3689.15303902848
2/1/19,3680.06046292316
3/1/19,3946.28425679966
4/1/19,5161.06854273724
5/1/19,7233.64072301659
6/1/19,9346.85537505473
7/1/19,10673.0675062555
8/1/19,10628.7396368217
9/1/19,9813.82501198443
10/1/19,8392.46057351658
11/1/19,8379.43822918102
12/1/19,7289.07303117932
1/1/20,8353.05864627137
2/1/20,9659.75158518716
3/1/20,6967.23149422774
4/1/20,7167.42247634774
5/1/20,9237.02376363188
6/1/20,9466.86102220769
7/1/20,9551.01285199329
8/1/20,11636.5870101855
9/1/20,10660.5303772472
10/1/20,11840.8253434451
11/1/20,16529.7980279895
12/1/20,21807.6667222912
1/1/21,34723.326906758
2/1/21,46855.2040948329
3/1/21,54821.3608003364
4/1/21,58896.4659540461
5/1/21,48771.8224404816
6/1/21,41934.7712033564
7/1/21,33755.7682075288
8/1/21,52248.2063335628
9/1/21,44374.102394011
10/1/21,57851.6109818217
11/1/21,63245.1653385351
12/1/21,51445.5859418899
1/1/22,46625.9698038939
2/1/22,41766.7824584165
3/1/22,44025.8613765461
4/1/22,49007.4437884915
5/1/22,40377.3419078384
6/1/22,24748.6793439212
7/1/22,21725.2040499335
8/1/22,22733.728746796
9/1/22,20109.1339535546
10/1/22,19882.3391998843
11/1/22,17835.4441748359
12/1/22,17244.9713167562
1/1/23,20415.5130267524
2/1/23,23744.0822470016
3/1/23,25618.0814750417
4/1/23,29179.2020339926
5/1/23,27586.1302767212
6/1/23,27860.7977211444
7/1/23,30203.9011468617
8/1/23,28193.193197142
9/1/23,26636.5490997706
10/1/23,29778.6456037098
11/1/23,36664.0537917536
12/1/23,42712.4261147992
1/1/24,43398.3576896383
2/1/24,49778.997324553
3/1/24,67748.8958081307
4/1/24,66399.508899985
5/1/24,65631.0069771453
6/1/24,66925.1447768931
7/1/24,63077.2742850296
8/1/24,60206.2630880721
9/1/24,60600.5768299512
10/1/24,65647.2863356504
11/1/24,85573.4624613416
12/1/24,98561.0295904002
1/1/25,99974.8446136909
2/1/25,94893.6277591857
3/1/25,85716.6651619196
4/1/25,86081.2502978654
5/1/25,103771.809724104
6/1/25,106031.25755749
7/1/25,115795.128070741
8/1/25,115557.874049324
9/1/25,113375.06937498
10/1/25,114683.154657267
11/1/25,97470.0124266439
12/1/25,89538.8576157678
1/1/26,90819.1426782321
